State,Year,Month,Period,Indicator,Data Value
ALABAMA,2019,August,Monthly,Number of Deaths,4398
ALASKA,2019,August,Monthly,Number of Deaths,382
ARIZONA,2019,August,Monthly,Number of Deaths,4782
ARKANSAS,2019,August,Monthly,Number of Deaths,2600
CALIFORNIA,2019,August,Monthly,Number of Deaths,20954
COLORADO,2019,August,Monthly,Number of Deaths,3108
CONNECTICUT,2019,August,Monthly,Number of Deaths,2537
DELAWARE,2019,August,Monthly,Number of Deaths,786
DISTRICT OF COLUMBIA,2019,August,Monthly,Number of Deaths,409
FLORIDA,2019,August,Monthly,Number of Deaths,16322
GEORGIA,2019,August,Monthly,Number of Deaths,6929
HAWAII,2019,August,Monthly,Number of Deaths,912
IDAHO,2019,August,Monthly,Number of Deaths,1151
ILLINOIS,2019,August,Monthly,Number of Deaths,8607
INDIANA,2019,August,Monthly,Number of Deaths,5190
IOWA,2019,August,Monthly,Number of Deaths,2440
KANSAS,2019,August,Monthly,Number of Deaths,2122
KENTUCKY,2019,August,Monthly,Number of Deaths,3882
LOUISIANA,2019,August,Monthly,Number of Deaths,3747
MAINE,2019,August,Monthly,Number of Deaths,1219
MARYLAND,2019,August,Monthly,Number of Deaths,4040
MASSACHUSETTS,2019,August,Monthly,Number of Deaths,4629
MICHIGAN,2019,August,Monthly,Number of Deaths,7923
MINNESOTA,2019,August,Monthly,Number of Deaths,3778
MISSISSIPPI,2019,August,Monthly,Number of Deaths,2653
MISSOURI,2019,August,Monthly,Number of Deaths,5014
MONTANA,2019,August,Monthly,Number of Deaths,853
NEBRASKA,2019,August,Monthly,Number of Deaths,1361
NEVADA,2019,August,Monthly,Number of Deaths,2080
NEW HAMPSHIRE,2019,August,Monthly,Number of Deaths,1048
NEW JERSEY,2019,August,Monthly,Number of Deaths,5945
NEW MEXICO,2019,August,Monthly,Number of Deaths,1555
NEW YORK,2019,August,Monthly,Number of Deaths,12340
NORTH CAROLINA,2019,August,Monthly,Number of Deaths,7675
NORTH DAKOTA,2019,August,Monthly,Number of Deaths,556
OHIO,2019,August,Monthly,Number of Deaths,9929
OKLAHOMA,2019,August,Monthly,Number of Deaths,3263
OREGON,2019,August,Monthly,Number of Deaths,2930
PENNSYLVANIA,2019,August,Monthly,Number of Deaths,10610
RHODE ISLAND,2019,August,Monthly,Number of Deaths,839
SOUTH CAROLINA,2019,August,Monthly,Number of Deaths,4112
SOUTH DAKOTA,2019,August,Monthly,Number of Deaths,715
TENNESSEE,2019,August,Monthly,Number of Deaths,5770
TEXAS,2019,August,Monthly,Number of Deaths,16354
UTAH,2019,August,Monthly,Number of Deaths,1479
VERMONT,2019,August,Monthly,Number of Deaths,458
VIRGINIA,2019,August,Monthly,Number of Deaths,5727
WASHINGTON,2019,August,Monthly,Number of Deaths,4542
WEST VIRGINIA,2019,August,Monthly,Number of Deaths,1826
WISCONSIN,2019,August,Monthly,Number of Deaths,4422
WYOMING,2019,August,Monthly,Number of Deaths,383
PUERTO RICO,2019,August,Monthly,Number of Deaths,2411
ALABAMA,2019,September,Monthly,Number of Deaths,4205
ALASKA,2019,September,Monthly,Number of Deaths,372
ARIZONA,2019,September,Monthly,Number of Deaths,4701
ARKANSAS,2019,September,Monthly,Number of Deaths,2578
CALIFORNIA,2019,September,Monthly,Number of Deaths,20648
COLORADO,2019,September,Monthly,Number of Deaths,3111
CONNECTICUT,2019,September,Monthly,Number of Deaths,2408
DELAWARE,2019,September,Monthly,Number of Deaths,770
DISTRICT OF COLUMBIA,2019,September,Monthly,Number of Deaths,405
FLORIDA,2019,September,Monthly,Number of Deaths,15851
GEORGIA,2019,September,Monthly,Number of Deaths,6776
HAWAII,2019,September,Monthly,Number of Deaths,942
IDAHO,2019,September,Monthly,Number of Deaths,1158
ILLINOIS,2019,September,Monthly,Number of Deaths,8593
INDIANA,2019,September,Monthly,Number of Deaths,5199
IOWA,2019,September,Monthly,Number of Deaths,2418
KANSAS,2019,September,Monthly,Number of Deaths,2231
KENTUCKY,2019,September,Monthly,Number of Deaths,3879
LOUISIANA,2019,September,Monthly,Number of Deaths,3572
MAINE,2019,September,Monthly,Number of Deaths,1195
MARYLAND,2019,September,Monthly,Number of Deaths,3878
MASSACHUSETTS,2019,September,Monthly,Number of Deaths,4560
MICHIGAN,2019,September,Monthly,Number of Deaths,7842
MINNESOTA,2019,September,Monthly,Number of Deaths,3663
MISSISSIPPI,2019,September,Monthly,Number of Deaths,2522
MISSOURI,2019,September,Monthly,Number of Deaths,4959
MONTANA,2019,September,Monthly,Number of Deaths,840
NEBRASKA,2019,September,Monthly,Number of Deaths,1337
NEVADA,2019,September,Monthly,Number of Deaths,1993
NEW HAMPSHIRE,2019,September,Monthly,Number of Deaths,1001
NEW JERSEY,2019,September,Monthly,Number of Deaths,5774
NEW MEXICO,2019,September,Monthly,Number of Deaths,1596
NEW YORK,2019,September,Monthly,Number of Deaths,12082
NORTH CAROLINA,2019,September,Monthly,Number of Deaths,7506
NORTH DAKOTA,2019,September,Monthly,Number of Deaths,542
OHIO,2019,September,Monthly,Number of Deaths,9741
OKLAHOMA,2019,September,Monthly,Number of Deaths,3188
OREGON,2019,September,Monthly,Number of Deaths,2968
PENNSYLVANIA,2019,September,Monthly,Number of Deaths,10343
RHODE ISLAND,2019,September,Monthly,Number of Deaths,816
SOUTH CAROLINA,2019,September,Monthly,Number of Deaths,4032
SOUTH DAKOTA,2019,September,Monthly,Number of Deaths,672
TENNESSEE,2019,September,Monthly,Number of Deaths,5648
TEXAS,2019,September,Monthly,Number of Deaths,15767
UTAH,2019,September,Monthly,Number of Deaths,1450
VERMONT,2019,September,Monthly,Number of Deaths,437
VIRGINIA,2019,September,Monthly,Number of Deaths,5496
WASHINGTON,2019,September,Monthly,Number of Deaths,4450
WEST VIRGINIA,2019,September,Monthly,Number of Deaths,1874
WISCONSIN,2019,September,Monthly,Number of Deaths,4314
WYOMING,2019,September,Monthly,Number of Deaths,446
PUERTO RICO,2019,September,Monthly,Number of Deaths,2341
ALABAMA,2019,October,Monthly,Number of Deaths,4375
ALASKA,2019,October,Monthly,Number of Deaths,383
ARIZONA,2019,October,Monthly,Number of Deaths,4794
ARKANSAS,2019,October,Monthly,Number of Deaths,2688
CALIFORNIA,2019,October,Monthly,Number of Deaths,22234
COLORADO,2019,October,Monthly,Number of Deaths,3371
CONNECTICUT,2019,October,Monthly,Number of Deaths,2596
DELAWARE,2019,October,Monthly,Number of Deaths,741
DISTRICT OF COLUMBIA,2019,October,Monthly,Number of Deaths,446
FLORIDA,2019,October,Monthly,Number of Deaths,16635
GEORGIA,2019,October,Monthly,Number of Deaths,7093
HAWAII,2019,October,Monthly,Number of Deaths,918
IDAHO,2019,October,Monthly,Number of Deaths,1201
ILLINOIS,2019,October,Monthly,Number of Deaths,9343
INDIANA,2019,October,Monthly,Number of Deaths,5590
IOWA,2019,October,Monthly,Number of Deaths,2700
KANSAS,2019,October,Monthly,Number of Deaths,2305
KENTUCKY,2019,October,Monthly,Number of Deaths,4053
LOUISIANA,2019,October,Monthly,Number of Deaths,3792
MAINE,2019,October,Monthly,Number of Deaths,1285
MARYLAND,2019,October,Monthly,Number of Deaths,4274
MASSACHUSETTS,2019,October,Monthly,Number of Deaths,4926
MICHIGAN,2019,October,Monthly,Number of Deaths,8410
MINNESOTA,2019,October,Monthly,Number of Deaths,3864
MISSISSIPPI,2019,October,Monthly,Number of Deaths,2679
MISSOURI,2019,October,Monthly,Number of Deaths,5074
MONTANA,2019,October,Monthly,Number of Deaths,860
NEBRASKA,2019,October,Monthly,Number of Deaths,1469
NEVADA,2019,October,Monthly,Number of Deaths,2019
NEW HAMPSHIRE,2019,October,Monthly,Number of Deaths,1088
NEW JERSEY,2019,October,Monthly,Number of Deaths,6239
NEW MEXICO,2019,October,Monthly,Number of Deaths,1589
NEW YORK,2019,October,Monthly,Number of Deaths,13234
NORTH CAROLINA,2019,October,Monthly,Number of Deaths,7952
NORTH DAKOTA,2019,October,Monthly,Number of Deaths,583
OHIO,2019,October,Monthly,Number of Deaths,10229
OKLAHOMA,2019,October,Monthly,Number of Deaths,3313
OREGON,2019,October,Monthly,Number of Deaths,3177
PENNSYLVANIA,2019,October,Monthly,Number of Deaths,11199
RHODE ISLAND,2019,October,Monthly,Number of Deaths,855
SOUTH CAROLINA,2019,October,Monthly,Number of Deaths,4223
SOUTH DAKOTA,2019,October,Monthly,Number of Deaths,698
TENNESSEE,2019,October,Monthly,Number of Deaths,5996
TEXAS,2019,October,Monthly,Number of Deaths,17120
UTAH,2019,October,Monthly,Number of Deaths,1558
VERMONT,2019,October,Monthly,Number of Deaths,503
VIRGINIA,2019,October,Monthly,Number of Deaths,5782
WASHINGTON,2019,October,Monthly,Number of Deaths,4928
WEST VIRGINIA,2019,October,Monthly,Number of Deaths,2024
WISCONSIN,2019,October,Monthly,Number of Deaths,4777
WYOMING,2019,October,Monthly,Number of Deaths,437
PUERTO RICO,2019,October,Monthly,Number of Deaths,2376
ALABAMA,2019,November,Monthly,Number of Deaths,4533
ALASKA,2019,November,Monthly,Number of Deaths,417
ARIZONA,2019,November,Monthly,Number of Deaths,5057
ARKANSAS,2019,November,Monthly,Number of Deaths,2855
CALIFORNIA,2019,November,Monthly,Number of Deaths,22142
COLORADO,2019,November,Monthly,Number of Deaths,3264
CONNECTICUT,2019,November,Monthly,Number of Deaths,2689
DELAWARE,2019,November,Monthly,Number of Deaths,737
DISTRICT OF COLUMBIA,2019,November,Monthly,Number of Deaths,429
FLORIDA,2019,November,Monthly,Number of Deaths,17100
GEORGIA,2019,November,Monthly,Number of Deaths,7320
HAWAII,2019,November,Monthly,Number of Deaths,882
IDAHO,2019,November,Monthly,Number of Deaths,1178
ILLINOIS,2019,November,Monthly,Number of Deaths,9219
INDIANA,2019,November,Monthly,Number of Deaths,5547
IOWA,2019,November,Monthly,Number of Deaths,2591
KANSAS,2019,November,Monthly,Number of Deaths,2293
KENTUCKY,2019,November,Monthly,Number of Deaths,4059
LOUISIANA,2019,November,Monthly,Number of Deaths,3946
MAINE,2019,November,Monthly,Number of Deaths,1244
MARYLAND,2019,November,Monthly,Number of Deaths,4366
MASSACHUSETTS,2019,November,Monthly,Number of Deaths,4895
MICHIGAN,2019,November,Monthly,Number of Deaths,8515
MINNESOTA,2019,November,Monthly,Number of Deaths,3827
MISSISSIPPI,2019,November,Monthly,Number of Deaths,2705
MISSOURI,2019,November,Monthly,Number of Deaths,5325
MONTANA,2019,November,Monthly,Number of Deaths,832
NEBRASKA,2019,November,Monthly,Number of Deaths,1371
NEVADA,2019,November,Monthly,Number of Deaths,2107
NEW HAMPSHIRE,2019,November,Monthly,Number of Deaths,1064
NEW JERSEY,2019,November,Monthly,Number of Deaths,6334
NEW MEXICO,2019,November,Monthly,Number of Deaths,1615
NEW YORK,2019,November,Monthly,Number of Deaths,13070
NORTH CAROLINA,2019,November,Monthly,Number of Deaths,7846
NORTH DAKOTA,2019,November,Monthly,Number of Deaths,585
OHIO,2019,November,Monthly,Number of Deaths,10418
OKLAHOMA,2019,November,Monthly,Number of Deaths,3477
OREGON,2019,November,Monthly,Number of Deaths,3164
PENNSYLVANIA,2019,November,Monthly,Number of Deaths,11273
RHODE ISLAND,2019,November,Monthly,Number of Deaths,848
SOUTH CAROLINA,2019,November,Monthly,Number of Deaths,4206
SOUTH DAKOTA,2019,November,Monthly,Number of Deaths,719
TENNESSEE,2019,November,Monthly,Number of Deaths,5984
TEXAS,2019,November,Monthly,Number of Deaths,17406
UTAH,2019,November,Monthly,Number of Deaths,1566
VERMONT,2019,November,Monthly,Number of Deaths,507
VIRGINIA,2019,November,Monthly,Number of Deaths,5847
WASHINGTON,2019,November,Monthly,Number of Deaths,4738
WEST VIRGINIA,2019,November,Monthly,Number of Deaths,1904
WISCONSIN,2019,November,Monthly,Number of Deaths,4562
WYOMING,2019,November,Monthly,Number of Deaths,442
PUERTO RICO,2019,November,Monthly,Number of Deaths,2509
ALABAMA,2019,December,Monthly,Number of Deaths,4834
ALASKA,2019,December,Monthly,Number of Deaths,422
ARIZONA,2019,December,Monthly,Number of Deaths,5252
ARKANSAS,2019,December,Monthly,Number of Deaths,2950
CALIFORNIA,2019,December,Monthly,Number of Deaths,24258
COLORADO,2019,December,Monthly,Number of Deaths,3494
CONNECTICUT,2019,December,Monthly,Number of Deaths,2804
DELAWARE,2019,December,Monthly,Number of Deaths,846
DISTRICT OF COLUMBIA,2019,December,Monthly,Number of Deaths,476
FLORIDA,2019,December,Monthly,Number of Deaths,18566
GEORGIA,2019,December,Monthly,Number of Deaths,7612
HAWAII,2019,December,Monthly,Number of Deaths,1000
IDAHO,2019,December,Monthly,Number of Deaths,1269
ILLINOIS,2019,December,Monthly,Number of Deaths,9650
INDIANA,2019,December,Monthly,Number of Deaths,5971
IOWA,2019,December,Monthly,Number of Deaths,2814
KANSAS,2019,December,Monthly,Number of Deaths,2488
KENTUCKY,2019,December,Monthly,Number of Deaths,4451
LOUISIANA,2019,December,Monthly,Number of Deaths,4151
MAINE,2019,December,Monthly,Number of Deaths,1289
MARYLAND,2019,December,Monthly,Number of Deaths,4474
MASSACHUSETTS,2019,December,Monthly,Number of Deaths,5279
MICHIGAN,2019,December,Monthly,Number of Deaths,8888
MINNESOTA,2019,December,Monthly,Number of Deaths,4153
MISSISSIPPI,2019,December,Monthly,Number of Deaths,2938
MISSOURI,2019,December,Monthly,Number of Deaths,5435
MONTANA,2019,December,Monthly,Number of Deaths,886
NEBRASKA,2019,December,Monthly,Number of Deaths,1566
NEVADA,2019,December,Monthly,Number of Deaths,2232
NEW HAMPSHIRE,2019,December,Monthly,Number of Deaths,1168
NEW JERSEY,2019,December,Monthly,Number of Deaths,6936
NEW MEXICO,2019,December,Monthly,Number of Deaths,1711
NEW YORK,2019,December,Monthly,Number of Deaths,14137
NORTH CAROLINA,2019,December,Monthly,Number of Deaths,8576
NORTH DAKOTA,2019,December,Monthly,Number of Deaths,603
OHIO,2019,December,Monthly,Number of Deaths,10975
OKLAHOMA,2019,December,Monthly,Number of Deaths,3652
OREGON,2019,December,Monthly,Number of Deaths,3295
PENNSYLVANIA,2019,December,Monthly,Number of Deaths,12141
RHODE ISLAND,2019,December,Monthly,Number of Deaths,923
SOUTH CAROLINA,2019,December,Monthly,Number of Deaths,4700
SOUTH DAKOTA,2019,December,Monthly,Number of Deaths,684
TENNESSEE,2019,December,Monthly,Number of Deaths,6580
TEXAS,2019,December,Monthly,Number of Deaths,18547
UTAH,2019,December,Monthly,Number of Deaths,1691
VERMONT,2019,December,Monthly,Number of Deaths,499
VIRGINIA,2019,December,Monthly,Number of Deaths,6269
WASHINGTON,2019,December,Monthly,Number of Deaths,5095
WEST VIRGINIA,2019,December,Monthly,Number of Deaths,2054
WISCONSIN,2019,December,Monthly,Number of Deaths,4823
WYOMING,2019,December,Monthly,Number of Deaths,466
PUERTO RICO,2019,December,Monthly,Number of Deaths,2471
ALABAMA,2020,January,Monthly,Number of Deaths,4806
ALASKA,2020,January,Monthly,Number of Deaths,435
ARIZONA,2020,January,Monthly,Number of Deaths,5770
ARKANSAS,2020,January,Monthly,Number of Deaths,2987
CALIFORNIA,2020,January,Monthly,Number of Deaths,25639
COLORADO,2020,January,Monthly,Number of Deaths,3657
CONNECTICUT,2020,January,Monthly,Number of Deaths,2839
DELAWARE,2020,January,Monthly,Number of Deaths,850
DISTRICT OF COLUMBIA,2020,January,Monthly,Number of Deaths,494
FLORIDA,2020,January,Monthly,Number of Deaths,19236
GEORGIA,2020,January,Monthly,Number of Deaths,7895
HAWAII,2020,January,Monthly,Number of Deaths,1057
IDAHO,2020,January,Monthly,Number of Deaths,1243
ILLINOIS,2020,January,Monthly,Number of Deaths,10081
INDIANA,2020,January,Monthly,Number of Deaths,6193
IOWA,2020,January,Monthly,Number of Deaths,2838
KANSAS,2020,January,Monthly,Number of Deaths,2623
KENTUCKY,2020,January,Monthly,Number of Deaths,4549
LOUISIANA,2020,January,Monthly,Number of Deaths,4225
MAINE,2020,January,Monthly,Number of Deaths,1370
MARYLAND,2020,January,Monthly,Number of Deaths,4531
MASSACHUSETTS,2020,January,Monthly,Number of Deaths,5392
MICHIGAN,2020,January,Monthly,Number of Deaths,9064
MINNESOTA,2020,January,Monthly,Number of Deaths,4274
MISSISSIPPI,2020,January,Monthly,Number of Deaths,2847
MISSOURI,2020,January,Monthly,Number of Deaths,5734
MONTANA,2020,January,Monthly,Number of Deaths,933
NEBRASKA,2020,January,Monthly,Number of Deaths,1541
NEVADA,2020,January,Monthly,Number of Deaths,2395
NEW HAMPSHIRE,2020,January,Monthly,Number of Deaths,1132
NEW JERSEY,2020,January,Monthly,Number of Deaths,7022
NEW MEXICO,2020,January,Monthly,Number of Deaths,1802
NEW YORK,2020,January,Monthly,Number of Deaths,14513
NORTH CAROLINA,2020,January,Monthly,Number of Deaths,8642
NORTH DAKOTA,2020,January,Monthly,Number of Deaths,602
OHIO,2020,January,Monthly,Number of Deaths,11250
OKLAHOMA,2020,January,Monthly,Number of Deaths,3836
OREGON,2020,January,Monthly,Number of Deaths,3297
PENNSYLVANIA,2020,January,Monthly,Number of Deaths,12377
RHODE ISLAND,2020,January,Monthly,Number of Deaths,888
SOUTH CAROLINA,2020,January,Monthly,Number of Deaths,4804
SOUTH DAKOTA,2020,January,Monthly,Number of Deaths,717
TENNESSEE,2020,January,Monthly,Number of Deaths,6783
TEXAS,2020,January,Monthly,Number of Deaths,18781
UTAH,2020,January,Monthly,Number of Deaths,1710
VERMONT,2020,January,Monthly,Number of Deaths,515
VIRGINIA,2020,January,Monthly,Number of Deaths,6671
WASHINGTON,2020,January,Monthly,Number of Deaths,5363
WEST VIRGINIA,2020,January,Monthly,Number of Deaths,2221
WISCONSIN,2020,January,Monthly,Number of Deaths,4956
WYOMING,2020,January,Monthly,Number of Deaths,496
PUERTO RICO,2020,January,Monthly,Number of Deaths,2672
ALABAMA,2020,February,Monthly,Number of Deaths,4706
ALASKA,2020,February,Monthly,Number of Deaths,377
ARIZONA,2020,February,Monthly,Number of Deaths,5383
ARKANSAS,2020,February,Monthly,Number of Deaths,2865
CALIFORNIA,2020,February,Monthly,Number of Deaths,23719
COLORADO,2020,February,Monthly,Number of Deaths,3448
CONNECTICUT,2020,February,Monthly,Number of Deaths,2645
DELAWARE,2020,February,Monthly,Number of Deaths,769
DISTRICT OF COLUMBIA,2020,February,Monthly,Number of Deaths,416
FLORIDA,2020,February,Monthly,Number of Deaths,17980
GEORGIA,2020,February,Monthly,Number of Deaths,7346
HAWAII,2020,February,Monthly,Number of Deaths,1020
IDAHO,2020,February,Monthly,Number of Deaths,1226
ILLINOIS,2020,February,Monthly,Number of Deaths,9450
INDIANA,2020,February,Monthly,Number of Deaths,5774
IOWA,2020,February,Monthly,Number of Deaths,2637
KANSAS,2020,February,Monthly,Number of Deaths,2344
KENTUCKY,2020,February,Monthly,Number of Deaths,4087
LOUISIANA,2020,February,Monthly,Number of Deaths,3992
MAINE,2020,February,Monthly,Number of Deaths,1286
MARYLAND,2020,February,Monthly,Number of Deaths,4238
MASSACHUSETTS,2020,February,Monthly,Number of Deaths,5032
MICHIGAN,2020,February,Monthly,Number of Deaths,8346
MINNESOTA,2020,February,Monthly,Number of Deaths,3835
MISSISSIPPI,2020,February,Monthly,Number of Deaths,2785
MISSOURI,2020,February,Monthly,Number of Deaths,5385
MONTANA,2020,February,Monthly,Number of Deaths,878
NEBRASKA,2020,February,Monthly,Number of Deaths,1370
NEVADA,2020,February,Monthly,Number of Deaths,2189
NEW HAMPSHIRE,2020,February,Monthly,Number of Deaths,1044
NEW JERSEY,2020,February,Monthly,Number of Deaths,6314
NEW MEXICO,2020,February,Monthly,Number of Deaths,1631
NEW YORK,2020,February,Monthly,Number of Deaths,13320
NORTH CAROLINA,2020,February,Monthly,Number of Deaths,8238
NORTH DAKOTA,2020,February,Monthly,Number of Deaths,581
OHIO,2020,February,Monthly,Number of Deaths,10344
OKLAHOMA,2020,February,Monthly,Number of Deaths,3473
OREGON,2020,February,Monthly,Number of Deaths,3068
PENNSYLVANIA,2020,February,Monthly,Number of Deaths,11310
RHODE ISLAND,2020,February,Monthly,Number of Deaths,874
SOUTH CAROLINA,2020,February,Monthly,Number of Deaths,4406
SOUTH DAKOTA,2020,February,Monthly,Number of Deaths,681
TENNESSEE,2020,February,Monthly,Number of Deaths,5972
TEXAS,2020,February,Monthly,Number of Deaths,17373
UTAH,2020,February,Monthly,Number of Deaths,1482
VERMONT,2020,February,Monthly,Number of Deaths,521
VIRGINIA,2020,February,Monthly,Number of Deaths,6046
WASHINGTON,2020,February,Monthly,Number of Deaths,4779
WEST VIRGINIA,2020,February,Monthly,Number of Deaths,2006
WISCONSIN,2020,February,Monthly,Number of Deaths,4660
WYOMING,2020,February,Monthly,Number of Deaths,416
PUERTO RICO,2020,February,Monthly,Number of Deaths,2544
ALABAMA,2020,March,Monthly,Number of Deaths,4832
ALASKA,2020,March,Monthly,Number of Deaths,367
ARIZONA,2020,March,Monthly,Number of Deaths,5857
ARKANSAS,2020,March,Monthly,Number of Deaths,2904
CALIFORNIA,2020,March,Monthly,Number of Deaths,24999
COLORADO,2020,March,Monthly,Number of Deaths,3728
CONNECTICUT,2020,March,Monthly,Number of Deaths,2955
DELAWARE,2020,March,Monthly,Number of Deaths,881
DISTRICT OF COLUMBIA,2020,March,Monthly,Number of Deaths,439
FLORIDA,2020,March,Monthly,Number of Deaths,19432
GEORGIA,2020,March,Monthly,Number of Deaths,7937
HAWAII,2020,March,Monthly,Number of Deaths,1014
IDAHO,2020,March,Monthly,Number of Deaths,1335
ILLINOIS,2020,March,Monthly,Number of Deaths,10389
INDIANA,2020,March,Monthly,Number of Deaths,6194
IOWA,2020,March,Monthly,Number of Deaths,2718
KANSAS,2020,March,Monthly,Number of Deaths,2444
KENTUCKY,2020,March,Monthly,Number of Deaths,4340
LOUISIANA,2020,March,Monthly,Number of Deaths,4718
MAINE,2020,March,Monthly,Number of Deaths,1315
MARYLAND,2020,March,Monthly,Number of Deaths,4725
MASSACHUSETTS,2020,March,Monthly,Number of Deaths,5484
MICHIGAN,2020,March,Monthly,Number of Deaths,9789
MINNESOTA,2020,March,Monthly,Number of Deaths,4048
MISSISSIPPI,2020,March,Monthly,Number of Deaths,2953
MISSOURI,2020,March,Monthly,Number of Deaths,5620
MONTANA,2020,March,Monthly,Number of Deaths,946
NEBRASKA,2020,March,Monthly,Number of Deaths,1490
NEVADA,2020,March,Monthly,Number of Deaths,2265
NEW HAMPSHIRE,2020,March,Monthly,Number of Deaths,1139
NEW JERSEY,2020,March,Monthly,Number of Deaths,8048
NEW MEXICO,2020,March,Monthly,Number of Deaths,1690
NEW YORK,2020,March,Monthly,Number of Deaths,18930
NORTH CAROLINA,2020,March,Monthly,Number of Deaths,8756
NORTH DAKOTA,2020,March,Monthly,Number of Deaths,587
OHIO,2020,March,Monthly,Number of Deaths,11122
OKLAHOMA,2020,March,Monthly,Number of Deaths,3713
OREGON,2020,March,Monthly,Number of Deaths,3384
PENNSYLVANIA,2020,March,Monthly,Number of Deaths,11957
RHODE ISLAND,2020,March,Monthly,Number of Deaths,932
SOUTH CAROLINA,2020,March,Monthly,Number of Deaths,4883
SOUTH DAKOTA,2020,March,Monthly,Number of Deaths,732
TENNESSEE,2020,March,Monthly,Number of Deaths,6570
TEXAS,2020,March,Monthly,Number of Deaths,18296
UTAH,2020,March,Monthly,Number of Deaths,1731
VERMONT,2020,March,Monthly,Number of Deaths,595
VIRGINIA,2020,March,Monthly,Number of Deaths,6578
WASHINGTON,2020,March,Monthly,Number of Deaths,5433
WEST VIRGINIA,2020,March,Monthly,Number of Deaths,2181
WISCONSIN,2020,March,Monthly,Number of Deaths,5016
WYOMING,2020,March,Monthly,Number of Deaths,456
PUERTO RICO,2020,March,Monthly,Number of Deaths,2731
ALABAMA,2020,April,Monthly,Number of Deaths,4952
ALASKA,2020,April,Monthly,Number of Deaths,367
ARIZONA,2020,April,Monthly,Number of Deaths,5801
ARKANSAS,2020,April,Monthly,Number of Deaths,2742
CALIFORNIA,2020,April,Monthly,Number of Deaths,25490
COLORADO,2020,April,Monthly,Number of Deaths,4479
CONNECTICUT,2020,April,Monthly,Number of Deaths,5295
DELAWARE,2020,April,Monthly,Number of Deaths,1025
DISTRICT OF COLUMBIA,2020,April,Monthly,Number of Deaths,730
FLORIDA,2020,April,Monthly,Number of Deaths,18964
GEORGIA,2020,April,Monthly,Number of Deaths,8593
HAWAII,2020,April,Monthly,Number of Deaths,913
IDAHO,2020,April,Monthly,Number of Deaths,1178
ILLINOIS,2020,April,Monthly,Number of Deaths,12769
INDIANA,2020,April,Monthly,Number of Deaths,6665
IOWA,2020,April,Monthly,Number of Deaths,2676
KANSAS,2020,April,Monthly,Number of Deaths,2370
KENTUCKY,2020,April,Monthly,Number of Deaths,4302
LOUISIANA,2020,April,Monthly,Number of Deaths,5732
MAINE,2020,April,Monthly,Number of Deaths,1270
MARYLAND,2020,April,Monthly,Number of Deaths,6073
MASSACHUSETTS,2020,April,Monthly,Number of Deaths,9526
MICHIGAN,2020,April,Monthly,Number of Deaths,13237
MINNESOTA,2020,April,Monthly,Number of Deaths,4145
MISSISSIPPI,2020,April,Monthly,Number of Deaths,3178
MISSOURI,2020,April,Monthly,Number of Deaths,5801
MONTANA,2020,April,Monthly,Number of Deaths,838
NEBRASKA,2020,April,Monthly,Number of Deaths,1442
NEVADA,2020,April,Monthly,Number of Deaths,2350
NEW HAMPSHIRE,2020,April,Monthly,Number of Deaths,1148
NEW JERSEY,2020,April,Monthly,Number of Deaths,18288
NEW MEXICO,2020,April,Monthly,Number of Deaths,1786
NEW YORK,2020,April,Monthly,Number of Deaths,41554
NORTH CAROLINA,2020,April,Monthly,Number of Deaths,8644
NORTH DAKOTA,2020,April,Monthly,Number of Deaths,600
OHIO,2020,April,Monthly,Number of Deaths,11497
OKLAHOMA,2020,April,Monthly,Number of Deaths,3524
OREGON,2020,April,Monthly,Number of Deaths,3264
PENNSYLVANIA,2020,April,Monthly,Number of Deaths,15254
RHODE ISLAND,2020,April,Monthly,Number of Deaths,1155
SOUTH CAROLINA,2020,April,Monthly,Number of Deaths,4668
SOUTH DAKOTA,2020,April,Monthly,Number of Deaths,682
TENNESSEE,2020,April,Monthly,Number of Deaths,6172
TEXAS,2020,April,Monthly,Number of Deaths,18293
UTAH,2020,April,Monthly,Number of Deaths,1607
VERMONT,2020,April,Monthly,Number of Deaths,550
VIRGINIA,2020,April,Monthly,Number of Deaths,6990
WASHINGTON,2020,April,Monthly,Number of Deaths,5369
WEST VIRGINIA,2020,April,Monthly,Number of Deaths,2069
WISCONSIN,2020,April,Monthly,Number of Deaths,4891
WYOMING,2020,April,Monthly,Number of Deaths,450
PUERTO RICO,2020,April,Monthly,Number of Deaths,2385
ALABAMA,2020,May,Monthly,Number of Deaths,5175
ALASKA,2020,May,Monthly,Number of Deaths,396
ARIZONA,2020,May,Monthly,Number of Deaths,5854
ARKANSAS,2020,May,Monthly,Number of Deaths,2822
CALIFORNIA,2020,May,Monthly,Number of Deaths,24801
COLORADO,2020,May,Monthly,Number of Deaths,3791
CONNECTICUT,2020,May,Monthly,Number of Deaths,3974
DELAWARE,2020,May,Monthly,Number of Deaths,1095
DISTRICT OF COLUMBIA,2020,May,Monthly,Number of Deaths,676
FLORIDA,2020,May,Monthly,Number of Deaths,18853
GEORGIA,2020,May,Monthly,Number of Deaths,8352
HAWAII,2020,May,Monthly,Number of Deaths,939
IDAHO,2020,May,Monthly,Number of Deaths,1240
ILLINOIS,2020,May,Monthly,Number of Deaths,12590
INDIANA,2020,May,Monthly,Number of Deaths,6541
IOWA,2020,May,Monthly,Number of Deaths,2910
KANSAS,2020,May,Monthly,Number of Deaths,2376
